clave,insumo,familia,subfamilia,unidad
15562,ADAPTADOR HEMBRA BRONCE ½,Herramientas y Utiles,Adaptadores,PIEZAS
16091,ADAPTADOR HID MP-MJ,Herramientas y Utiles,Adaptadores,PIEZAS
13538,ADAPTADOR HIDRAULICO,Herramientas y Utiles,Adaptadores,PIEZAS
15561,ADAPTADOR MACHO BRONCE ½,Herramientas y Utiles,Adaptadores,PIEZAS
30859,ADAPTADOR MICRO SD,Equipo de Computo,Accesorios de cómputo,PIEZAS
16093,ADAPTADOR MP-FPX-RECTO,Herramientas y Utiles,Adaptadores,PIEZAS
16094,ADAPTADOR TEE FP-FP,Herramientas y Utiles,Adaptadores,PIEZAS
30515,ADAPTADOR USB MULTIPUERTO,Equipo de Comunicación,Accesorios Comunicaciones,PIEZAS
29541,ADQUISICION DE LIBROS,Gastos diversos,Varios (Gastos Diversos),PIEZAS
22525,AGARRADERA DE PUERTA,Equipo de Transporte,Sistema de carroceria,PIEZAS
18041,AGITADOR DE VIDRIO,Herramientas y Utiles,HERRAMIENTAS,PIEZAS
11311,AGUA DESTILADA,Equipo de Laboratorio,Material de laboratorio,PIEZAS
12246,AGUA SUAVIZADA,Gastos diversos,Varios (Gastos Diversos),LITROS
27919,AHUMADOR DE COCTELES,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
94,AIRE ACONDICIONADO MINI-SPLIT,Equipo Aire Acondicionado,Aires Acondicionados,PIEZAS
99,AIRE COMPRIMIDO,Equipo de Computo,Consumibles,PIEZAS
6629,AJUSTADOR DE CLUTCH,Equipo de Transporte,Sistema de Cluth,PIEZAS
21788,ALAMBIQUE DE COBRE,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
26080,ALAMBRE FLEXIBLE,Ferreteria,Varios,PIEZAS
8146,ALAMBRE RECOCIDO,Ferreteria,Varios,KILOS
4045,ALARMA ANTI ROBO,Gastos diversos,Varios (Gastos Diversos),PIEZAS
12782,ALCOHOLIMETRO,Gastos diversos,Varios (Gastos Diversos),PIEZAS
24707,ALFOMBRA USO RUDO,Mobiliario y equipo,Mobiliario y equipo,METROS
27823,ALGAQUIM PLUS,Gastos diversos,Varios (Gastos Diversos),LITROS
26081,ALICATE DE CORTE,Herramientas y Utiles,Manuales,PIEZAS
14783,ALKALINE CYANIDE REAGENT,Gastos diversos,Varios (Gastos Diversos),PIEZAS
30248,ALTAVOZ HONEYTONE,Equipo de Comunicación,Accesorios Comunicaciones,PIEZAS
27641,ALTERNADOR CASCADIA FREIGHTLINER,Equipo de Transporte,sistema electrico,PIEZAS
21090,AMORTIGUADOR,Maquinaria y Equipo,Refacciones,UNIDADES
4813,AMPERIMETRO,Herramientas y Utiles,Accesorios,PIEZAS
21091,AMPLIFICADOR DE AUDIO,Equipo de Comunicación,Equipo de Comunicación,UNIDADES
2601,AMPLIFICADOR DE SONIDO,Gastos diversos,Audio,PIEZAS
29274,AMPLIFICADOR PERIFONEO,Equipo de Comunicación,Equipo de Comunicación,PIEZAS
28633,ANAFRE DE BARRO,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
16147,ANALIZADOR DE HUMEDAD,Herramientas y Utiles,Accesorios,PIEZAS
6653,ANCHOVETA ENTERA FRESCA,Gastos diversos,Varios (Gastos Diversos),KILOS
6654,ANCHOVETA ENTERA IND.,Gastos diversos,Varios (Gastos Diversos),KILOS
16003,ANCHOVETA FRESCA,Ferreteria,Insumos,KILOS
13763,ANFORA DE AGUA,Equipo de Transporte,Sistema de Enfriamiento,PIEZAS
10706,ANGULO LAMINADO,Herreria,Angulo de Acero,KILOS
21780,ANIMALES DISECADOS,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
15475,ANTENA BANDA LATERAL,Equipo de Computo,Accesorios Comunicaciones,PIEZAS
10128,ANTENA BRIDGE,Equipo de Computo,Accesorios de cómputo,PIEZAS
9509,ANTENA DIRECCIONAL,Equipo de Computo,Accesorios Comunicaciones,PIEZAS
19263,ANTENA OMNIDIRECCIONAL,Equipo de Computo,Accesorios Comunicaciones,PIEZAS
11569,ANTENA PQ,Gastos diversos,Audio,PIEZAS
19278,ANTENA SECTORIAL,Equipo de Computo,Accesorios Comunicaciones,PIEZAS
13433,ANTENA WIFI,Equipo de Computo,Accesorios Comunicaciones,PIEZAS
27498,ANTIOXIDANT ADDING DEVICE,Herramientas y Utiles,Accesorios,PIEZAS
32798,ANTORCHA TIG,Herreria,Cuadrado de Acero,PIEZAS
22748,ANUNCIO LUMINOSO GASERAS,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
10835,ANUNCIO LUMINOSO GASOLINERAS,Herramientas y Utiles,Accesorios,PIEZAS
4575,APAGADOR SENCILLO,Ferreteria,Varios,PIEZAS
18567,APLANADORA DE COSTALES,Herramientas y Utiles,Accesorios,PIEZAS
13455,APUNTADOR LASER,Equipo de Computo,Accesorios de cómputo,PIEZAS
4419,ARANDELA DE PRESION,Equipo de Transporte,Sistema de Motor,PIEZAS
7172,ARAÑA,Equipo de Transporte,Abrazaderas,PIEZAS
2328,ARCHIVERO DE MADERA,Equipo de Oficina,Archiveros,PIEZAS
27988,ARCHIVERO METALICO,Equipo de Oficina,Archiveros,PIEZAS
27414,ARCILLA MOLDEADORA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
4862,ARENA,Ferreteria,Construccion,METROS
10707,ARENADO,Gastos diversos,Varios (Gastos Diversos),METROS
14211,ARNES DE INTERCONEXIÓN,Equipo de Computo,Accesorios Comunicaciones,PIEZAS
4328,ARNES DE INYECTOR,Equipo de Transporte,Sistema de Cluth,PIEZAS
32434,ARNES DE MOTOR,Equipo de Transporte,Sistema de Motor,PIEZAS
128,ARNES DE SEGURIDAD,Equipo de Seguridad,Equipo de Seguridad,PIEZAS
34543,ARNES DE SENSOR,Equipo de Transporte,GPS Y SENSORES,PIEZAS
32841,ARNES FRONTAL INYECTORES,Equipo de Transporte,sistema electrico,PIEZAS
32842,ARNES TRASERA INYECTORES,Equipo de Transporte,sistema electrico,PIEZAS
14750,ARNES/EMBUDO,Herramientas y Utiles,HERRAMIENTAS,PIEZAS
10717,ARO SALVAVIDAS,Equipo de Seguridad,Equipo de Seguridad,PIEZAS
12674,ARRANCADOR DE MOTOR,Equipo de Transporte,sistema electrico,PIEZAS
1985,ARRANCADOR MAGNETICO,Ferreteria,Varios,PIEZAS
3068,ASADON,Herramientas y Utiles,Manuales,PIEZAS
22716,ASADOR DE GAS,Herramientas y Utiles,Accesorios,PIEZAS
22691,ASADOR MASTER TOUCH,Herramientas y Utiles,Accesorios,PIEZAS
21098,ASERRÍN,Ferreteria,Varios,UNIDADES
29382,ASPIRADORA INALAMBRICA,Herramientas y Utiles,HERRAMIENTAS,PIEZAS
16797,ASPIRADORA SANITEZER,Herramientas y Utiles,Aspiradoras,PIEZAS
30137,AUTO ELECTRICO,Gastos diversos,Varios (Gastos Diversos),UNIDADES
27269,AUTOMATIC ADDING DEVICE,Herramientas y Utiles,Accesorios,PIEZAS
135,AUTOMOVIL,Equipo de Transporte,Utilitarios,UNIDADES
2020,AUTOTANQUE,Equipo de Transporte,AUTOTANQUE,UNIDADES
9642,AVION PRIVADO,Equipo de Transporte,AVION,PIEZAS
2261,BALANCEADOR,Equipo de Computo,Accesorios Comunicaciones,PIEZAS
13860,BALANCIN DE MURCIELAGO,Equipo de Transporte,Sistema de Suspension,PIEZAS
2185,BALATAS,Equipo de Transporte,Sistema de Transmision,PIEZAS
17930,BALERO CAMPANA,Equipo de Transporte,Sistema chasis,PIEZAS
25583,BALERO DE MADERA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
17931,BALERO PLANETARIO,Equipo de Transporte,Sistema de ejes,PIEZAS
2360,BALERO POLEA TENSORA,Equipo de Transporte,Sistema de ejes,PIEZAS
26493,BALLENA DE PELUCHE,Gastos diversos,Varios (Gastos Diversos),PIEZAS
21433,BALÓN DE VOLEIBOL,Ferreteria,Varios,PIEZAS
2598,BANCO,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
4102,BANDA ANCHA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
9745,BANDA ANTI ESTATICA,Equipo de Transporte,Sistema General,PIEZAS
30554,BANDA DE ACCESORIO,Equipo de Transporte,Accesorios,PIEZAS
2355,BANDA MOTOR,Equipo de Transporte,Sistema de Motor,PIEZAS
3319,BANDA VENTILADOR,Equipo de Transporte,Sistema de Motor,PIEZAS
29350,BANDEJA DE MADERA,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
28104,BANDERA SUBLIMADA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
10226,BANDEROLA AMBAR,Equipo de Transporte,Sistema General,PIEZAS
11876,BANDEROLAS PUBLICITARIAS,Gastos diversos,Varios (Gastos Diversos),PIEZAS
14195,BANNER ARAÑA,Gastos diversos,Varios (Gastos Diversos),PIEZAS
32989,BARA CHASIS,Equipo de Transporte,Sistema de carroceria,PIEZAS
24934,BARANDAL DE ALUMINIO,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
33329,BAROMETRO DIGITAL,Equipo de Laboratorio,Material de laboratorio,PIEZAS
29191,BARRA COLUMNA AJUSTABLE,Herramientas y Utiles,Accesorios,PIEZAS
139,BARRA DE ACERO,Herramientas y Utiles,Manuales,PIEZAS
19187,BARRA DE DESPACHO,Mobiliario y equipo,Mobiliario y equipo,PIEZAS
11281,BARRA DE PLASTILINA,Ferreteria,Varios,PIEZAS
6244,BARRA DIRECCIONAL,Equipo de Transporte,Sistema de carroceria,PIEZAS
17111,BARRA ESTABILILIZADORA,Herramientas y Utiles,Accesorios,PIEZAS
13543,BARRA ESTABILIZADORA OPW,Herramientas y Utiles,Barras,PIEZAS
